donor_id,date,cloud,year_diff,doy_diff,overlap_px,mae_B1,mae_B2,mae_B3,mae_B4,mae_B5,mae_B7,ndsi_abs_diff,brightness_abs_diff
LE07_L1TP_144039_19991109_20200918_02_T1,1999-11-09,6,6,32,28309312,0.03735977456635805,0.03907753058128434,0.043163306263530495,0.0433127874958691,0.029866340967117343,0.02454207807504425,0.12102054019019648,0.028972656173062442
LE07_L1TP_144039_20001229_20200917_02_T1,2000-12-29,3,5,19,28770100,0.035975844044326466,0.036501822601044884,0.038121711612389274,0.03547554449332595,0.022232026939636298,0.01898800573462434,0.12525538467760736,0.022567152201647362
LE07_L1TP_144039_20011013_20200917_02_T1,2001-10-13,2,4,59,28814793,0.03801514140934244,0.040465714205782904,0.0461190031165945,0.051363643103014896,0.04511193529215422,0.035931911472274765,0.1653534755404614,0.03505498662052054
LE07_L1TP_144039_20020930_20200916_02_T1,2002-09-30,4,3,72,28342015,0.06478498283074043,0.07187694176624772,0.0757757737563006,0.08931632148631063,0.05864271186070808,0.048044847740634604,0.17549572775051686,0.055673427792877324
LE07_L1TP_144039_20001010_20200918_02_T1,2000-10-10,7,5,61,28146830,0.05586173470301556,0.05917847835017758,0.06530718482638699,0.07364394580216173,0.05288223561411021,0.04378174643166739,0.1789428644335016,0.04798825889606371
LE07_L1TP_144039_20000503_20200918_02_T1,2000-05-03,9,5,144,28526434,0.06699797279969669,0.08052973092134465,0.08491977008697824,0.11194345567653946,0.0727286693380647,0.05773998207659231,0.2306378605641665,0.06327543842630262
LE07_L1TP_144039_20030120_20200916_02_T1,2003-01-20,4,2,40,29013837,0.09045892696632019,0.08881200058632889,0.08939449107654408,0.08534712850995464,0.04279797610994214,0.03580679392265192,0.2503623519651259,0.04981785170337877
LE07_L1TP_144039_20000229_20200918_02_T1,2000-02-29,8,5,80,28740479,0.15631572920982303,0.17122529021399832,0.1581607558993405,0.23578896204716265,0.0844246044370892,0.06855714487791838,0.45684643712884787,0.1002956795241344
LE07_L1TP_144039_20030205_20200916_02_T1,2003-02-05,5,2,56,28829501,0.23813973799827937,0.23933768592832896,0.23365973531648507,0.21267710927058642,0.08015747373144691,0.06542118729156346,0.5001369445149462,0.13425570241042556
LE07_L1TP_144039_20030104_20200916_02_T1,2003-01-04,5,2,24,28948507,0.29563126720757316,0.2834711340776014,0.2817659792363019,0.259926352099218,0.09780488801908402,0.08234562729336597,0.5992686019189041,0.16030947971803206
LE07_L1TP_144039_20020306_20200916_02_T1,2002-03-06,4,3,85,28639981,0.32794458332154175,0.3543022086887368,0.32612353816027034,0.40084632734568687,0.11788161134312346,0.09647215470908477,0.6661161866968817,0.20624521331451037
LE07_L1TP_144039_20030221_20200916_02_T1,2003-02-21,3,2,72,28807964,0.37260665533803716,0.3973966093593171,0.36712018348235703,0.3280413981207537,0.11032787106975835,0.09016795827776575,0.6958903499017169,0.218531365219613
