tile_index,image_name,image_id,date,cloud_cover,wrs_path,wrs_row,spacecraft_id,sensor_id,system_time_start,rebuild_rank
1,image1.tif,LE07_146037_20050904,2005-09-04,1,146,37,LANDSAT_7,ETM,1125810409354,76.33888163620585
1,image1.tif,LE07_147037_20050826,2005-08-26,2,147,37,LANDSAT_7,ETM,1125033185310,77.34245575475444
1,image1.tif,LE07_146037_20050920,2005-09-20,3,146,37,LANDSAT_7,ETM,1127192803560,112.34019697022667
1,image1.tif,LE07_146037_20051006,2005-10-06,2,146,37,LANDSAT_7,ETM,1128575199795,118.34153579007277
1,image1.tif,LE07_146038_20050920,2005-09-20,4,146,38,LANDSAT_7,ETM,1127192827453,122.34047353347152
1,image1.tif,LE07_146038_20051006,2005-10-06,3,146,38,LANDSAT_7,ETM,1128575223686,128.3418123301675
1,image1.tif,LE07_147037_20051029,2005-10-29,1,147,37,LANDSAT_7,ETM,1130562788977,131.34802780055105
1,image1.tif,LE07_146037_20051022,2005-10-22,2,146,37,LANDSAT_7,ETM,1129957612691,134.34306746222802
1,image1.tif,LE07_146038_20051022,2005-10-22,4,146,38,LANDSAT_7,ETM,1129957636583,154.3433440138978
1,image1.tif,LE07_147037_20051013,2005-10-13,6,147,37,LANDSAT_7,ETM,1129180375550,165.34648998203147
1,image1.tif,LE07_147037_20050927,2005-09-27,10,147,37,LANDSAT_7,ETM,1127797974530,189.34509577545592
1,image1.tif,LE07_146038_20050904,2005-09-04,14,146,38,LANDSAT_7,ETM,1125810433247,206.3391581994507
1,image1.tif,LE07_146037_20050803,2005-08-03,26,146,37,LANDSAT_7,ETM,1123045622740,294.3362717801474
1,image1.tif,LE07_146038_20041019,2004-10-19,4,146,38,LANDSAT_7,ETM,1098162403863,295.8851547302519
1,image1.tif,LE07_147037_20040908,2004-09-08,0,147,37,LANDSAT_7,ETM,1094620351428,296.8775899347613
1,image1.tif,LE07_146037_20040901,2004-09-01,1,146,37,LANDSAT_7,ETM,1094015183609,313.88124193129414
1,image1.tif,LE07_146037_20041019,2004-10-19,7,146,37,LANDSAT_7,ETM,1098162379971,325.8854312341376
1,image1.tif,LE07_146038_20050803,2005-08-03,32,146,38,LANDSAT_7,ETM,1123045646631,354.3365483202421
1,image1.tif,LE07_146038_20050616,2005-06-16,35,146,38,LANDSAT_7,ETM,1118898449736,365.90535983862486
1,image1.tif,LE07_147037_20050810,2005-08-10,33,147,37,LANDSAT_7,ETM,1123650791621,371.3411464050469
1,image1.tif,LE07_146037_20040816,2004-08-16,6,146,37,LANDSAT_7,ETM,1092632787434,379.87981526428587
1,image1.tif,LE07_146038_20040901,2004-09-01,11,146,38,LANDSAT_7,ETM,1094015207501,413.8809654274084
1,image1.tif,LE07_146038_20040629,2004-06-29,5,146,38,LANDSAT_7,ETM,1088485624356,417.8752407632449
1,image1.tif,LE07_147037_20040924,2004-09-24,15,147,37,LANDSAT_7,ETM,1096002746584,430.8790283947322
